fip_title,resource_pref_id,reslabel
EISCAT FIP 2021,http://purl.org/np/RAGAqZMETa6UkCriDtorwoxKXvusy3FaGs5y4udMOpvhg#SPARQL_endpoint,SPARQL (open) endpoint
EISCAT FIP 2021,http://purl.org/np/RAd_wv92CpvaMKUuYSvNAf-SiRKyRg_wEWYjI3y8VwehY#madrigal-hdf,HDF5 archival file format for data in Madrigal
EISCAT FIP 2021,http://purl.org/np/RAO1ray2WpmvvnKGw3zVwR-8sT5J8hMw5YlBnPCDf7utE#dirac-fc,DIRAC File Catalogue
EISCAT FIP 2021,http://purl.org/np/RASfyC_FqprQ3w-n6kZZG9M5w9nSfV4e1eAVIJHkil4cI#madrigal-data-model,MADRIGAL data model
EISCAT FIP 2021,http://purl.org/np/RANHreKNKAAnAMGL1nrRrv7ubqDETP242GUngngdr4f7A#eiscat-hdf,EISCAT Level 3 HDF5 archival format
EISCAT FIP 2021,http://purl.org/np/RAnwFn9lcKK8S2tccnwPZJw-0_hF5N03BL-8BuchPHtvQ#OAI-PMH,OAI-PMH Schema | Open Archives Initiative Protocol for Metadata Harvesting Schema
EISCAT FIP 2021,http://purl.org/np/RASNfH0QXFHabmtMALR6WU7gLzBrg4rN0s_p2JoFRBl4k#MADRIGAL,MADRIGAL database
EISCAT FIP 2021,http://purl.org/np/RAwk4Jy1VlIHXqWS04FvQGl0DJin7zsCcKpgD-bfCOlGc#eiscat-licence,EISCAT Data Licence
EISCAT FIP 2021,http://purl.org/np/RAwk4Jy1VlIHXqWS04FvQGl0DJin7zsCcKpgD-bfCOlGc#eiscat-dp,EISCAT Data Policy and Licence
EISCAT FIP 2021,http://purl.org/np/RA2ax5hW80d7OS7MVoE6vBOa6t6zR6DQREM8gWoLcEZzg#EGI_checkin,EGI Checkin
EISCAT FIP 2021,http://purl.org/np/RAko0U2Q8boW-drM8t11DcbX6Ixu2mcSQf-2BrM07geIQ#datacite_metadata_scheme,DataCite Metadata Scheme
EISCAT FIP 2021,http://purl.org/np/RAko0U2Q8boW-drM8t11DcbX6Ixu2mcSQf-2BrM07geIQ#datacite_metadata_scheme,DataCite Metadata Scheme
EISCAT FIP 2021,http://purl.org/np/RAvSpggcYeB-tEfjF6SwIkM3R6LmxuOvK4FqJqIDIkxt0#Handle_System,Handle System
EISCAT FIP 2021,http://purl.org/np/RA1Tut_b4RH2CWvynB6Byo9vju38j_gKpF-nXNqPl4NuA#eiscat-schedule,EISCAT Schedule
EISCAT FIP 2021,http://purl.org/np/RASfyC_FqprQ3w-n6kZZG9M5w9nSfV4e1eAVIJHkil4cI#madrigal-data-model,MADRIGAL data model
EISCAT FIP 2021,http://purl.org/np/RARKGmoA6jLQnUvkijvsoS6zcXxbiujviU39B54DoH208#B2FIND,B2FIND
EISCAT FIP 2021,http://purl.org/np/RAm6jl2f_ysCwqHyEEJjb7vdEnZXMwtNyIXSjsbNU3In8#HTTP,HTTP | Hypertext Transfer Protocol
EISCAT FIP 2021,http://purl.org/np/RAnkRRbkigfQpL2ERK1jVqwA9Brwu1GcORfTbfQMWHfC4#PROV-O,PROV-O | W3C PROV Ontology
SeaDataNET CDI FIP 2020,http://purl.org/np/RAF1ANn-BCFop0OBMOC7S8NtG0y_xYhRX4tAu37XZVCo0#HTTPS,HTTPS | Hypertext Transfer Protocol Secure
AnaEE CREA FIP 2021,http://purl.org/np/RAF1ANn-BCFop0OBMOC7S8NtG0y_xYhRX4tAu37XZVCo0#HTTPS,HTTPS | Hypertext Transfer Protocol Secure
Euro Argo FIP 2022,http://purl.org/np/RA63-_ZV5MsUMBGvOTpqpqg3rxn7dSkHD8HOq4f2cdyvc#OPENDATA,Open Data
DiSSCo FIP 2022,http://purl.org/np/RABv2ScOD0VlRskTF3WaQhc8gtIy0_MtEVzDKPitRPaRo#FDO,FDO | Fair Digital Object
